claim_id|marca_vehiculo|antiguedad_vehiculo|tipo_poliza|taller|partes_a_reparar|partes_a_reemplazar|total_piezas|log_total_piezas|marca_vehiculo_encoded|reclamos_por_marca|reclamos_por_taller|valor_vehiculo|valor_por_pieza|Semanas_en_el_taller
561205|ferd|1|1|4|3|2|5|1.6094379124341005|3||300|8540|300|4.384084317938597
528569|ferd|4|3|1|2|4|6|1.791759469228055|3||50|8540|50|2.949009122491966
408550||2|4|1|4|2|6|1.791759469228055|0||50|3560|50|-1.0
208451||1|1|4|1|4|5|1.6094379124341005|0||300|3560|300|6.165575820663671
394115|ferd|2|4|1|3|4|7|1.9459101490553128|3||50|8540|50|-1.0
243530|fait|2|1|3|1|2|3|1.0986122886681098|2||200|2950|200|6.044710152812982
288203||3|3|4|2|2|4|1.3862943611198906|0||300|3560|300|5.755813438598005
991981|ferd|3|3|2|1|2|3|1.0986122886681098|3||100|8540|100|4.817652487515653
435094|chepy|2|1|1|4|3|7|1.9459101490553128|1||50|1500|50|4.981569993067733
417848|fait|4|3|1|4|4|8|2.079441541679836|2||50|2950|50|3.2315036114105746
